KEY1;PAT_Seq_ID;Country;CROP_SEASON;SEASON_NO;OLD_PAT_ID;TRIAL_NAME;TRIAL_TYPE;TRIAL_INSTANCE;NOTES_4_EXCLUDE;Trial_Operator;Org_Partner;Org_Partner_Type;Org_Partner_Country;Org_Partner_Status;LOCATION_NAME;MACRO_REGION;LOCATION_ID;SITE_NAME;Org_Abbrev_3_letters;REP_NO;BLOCK_NO;PLOT_NO;ENTRY_NO;Crop_Variety;Commercial1_Commercial2;Control;PAT_GID;PL_EMERG_COUNT;PL_EMERG_PCT;FLW_DATE;FLW_DAYS;FLW_CL;Leaf_shape_R1;PUB_CL;MAT_DATE;MAT_DAYS;PL_Lodging;Podding_MAT;Pod_Shattering;R8_PL_Height;NET_PLOT_AREA;NET_PLOT_YLD;WGT_100_SEEDS;MOIST_PCT;GRAIN_YLD_13PCT;AGRONOMICS;R6_BB_Sev;R6_BP_Sev;R6_BS_Sev;R6_BTS_Sev;R6_CLB_Sev;R6_DM_Sev;R6_MLS_Sev;R6_FELS_Sev;R6_RLB_Sev;R6_RUST_Sev;R6_RUST_RRT;R6_Others_Sev;PROTEIN;OIL;Hilum;PLANT_DATE;HARV_DATE;SITE_LAT;SITE_LONG;SITE_ALT;IRRIGATION;TRIAL_STATUS;Org_Source;Org_Source_Type;Org_Source_Country;Org_Acronym
S18_2_ZW_SCL5Banket_SCL14SC SAGA1;1146141328;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;3;11;14;SC SAGA;;Yes;12;0;0;;0;;;;;0;3;0;0;110;0;2070;22;11;4235,17;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,07;21,17;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL24S1187/5/371;1220619875;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;3;12;24;S1187/5/37;;No;125;0;0;;0;;;;;0;1;0;0;90;0;1620;18;10;3351,72;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,37;20,25;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL11SC SPIKE1;1351241470;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;3;13;11;SC SPIKE;;Yes;104;0;0;;0;;;;;0;1;0;0;125;0;2330;21;10;4815,33;YES;0;0;0;0;0;0;0;0;0;0;0;0;39,86;20,33;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL7Kaleya1;-293190503;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;3;14;7;Kaleya;;No;56;0;0;;0;;;;;0;2;0;0;105;0;1440;14;13;2889,93;YES;0;0;0;0;0;0;0;0;0;0;0;0;43,4;19,93;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;ZamSeed;Private;Zambia;ZamSeed (Zambia)
S18_2_ZW_SCL5Banket_SCL16TGx 2002-35FM1;1612945258;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;3;15;16;TGx 2002-35FM;;No;129;0;0;;0;;;;;0;5;0;0;80;0;1100;14;10;2288,51;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,88;19,22;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL28S1140/5/41;84491296;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;4;16;28;S1140/5/4;;No;91;0;0;;0;;;;;0;1;0;0;135;0;1730;18;10;3567,38;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,89;20,51;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL1Makwacha1;15652902;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;4;17;1;Makwacha;;No;63;0;0;;0;;;;;0;3;0;0;110;0;1450;17;11;2956,67;YES;0;0;0;0;0;0;0;0;0;0;0;0;42,02;18,49;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Department of Agricultural Research Services (DARS);Public;Malawi;DARS (Malawi)
S18_2_ZW_SCL5Banket_SCL9Panorama 3581;1157719558;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;4;18;9;Panorama 358;;No;121;0;0;;0;;;;;0;1;0;0;145;0;956;12;9;2010,9;YES;0;0;0;0;0;0;0;0;0;0;0;0;42,78;19,02;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Semillas Panorama SAS;Private;Colombia;S. Panorama (Colombia)
S18_2_ZW_SCL5Banket_SCL15TGx 2001-24FM1;722634827;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;4;19;15;TGx 2001-24FM;;No;128;0;0;;0;;;;;0;5;0;0;125;0;1480;17;11;3045,06;YES;0;0;0;0;0;0;0;0;0;0;0;0;43,04;20,5;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL13SC SIGNAL1;-1218104471;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;4;20;13;SC SIGNAL;;Yes;103;0;0;;0;;;;;0;1;0;0;140;0;1780;20;11;3645,93;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,31;19,39;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL19TGx 2014-21FM1;-406252596;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;5;21;19;TGx 2014-21FM;;No;132;0;0;;0;;;;;0;2;0;0;105;0;1180;15;10;2430,53;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,84;19,58;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL3TIKOLORE1;1628796582;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;5;22;3;TIKOLORE;;No;86;0;0;;0;;;;;0;5;0;0;90;0;1250;12;10;2591,95;YES;0;0;0;0;0;0;0;0;0;0;0;0;43,13;19,34;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Department of Agricultural Research Services (DARS);Public;Malawi;DARS (Malawi)
S18_2_ZW_SCL5Banket_SCL10Panorama 31;-1235997864;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;5;23;10;Panorama 3;;No;120;0;0;;0;;;;;0;3;0;0;160;0;708;14;9;1489,24;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,74;20,4;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Semillas Panorama SAS;Private;Colombia;S. Panorama (Colombia)
S18_2_ZW_SCL5Banket_SCL2NASOKO1;-2023734889;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;5;24;2;NASOKO;;No;64;0;0;;0;;;;;0;2;0;0;105;0;1260;17;11;2592,41;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,56;19,93;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Department of Agricultural Research Services (DARS);Public;Malawi;DARS (Malawi)
S18_2_ZW_SCL5Banket_SCL27SCS-11;1073051811;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;5;25;27;SCS-1;;No;13;0;0;;0;;;;;0;4;0;0;90;0;1540;17;10;3175,59;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,18;20,63;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Ethiopian Institute of Agricultural Research (EIAR);Public;Ethiopia;EIAR (Ethiopia)
S18_2_ZW_SCL5Banket_SCL26SSS5001;884930869;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;6;26;26;SSS500;;No;127;0;0;;0;;;;;0;1;0;0;55;0;760;16;10;1570,67;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,76;21,1;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Sensako;Private;South Africa;Sensako (South Africa)
S18_2_ZW_SCL5Banket_SCL29CLARK-63K1;1585329837;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;6;27;29;CLARK-63K;;No;9;0;0;;0;;;;;0;2;0;0;90;0;750;12;10;1553,45;YES;0;0;0;0;0;0;0;0;0;0;0;0;44,1;20,15;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Ethiopian Institute of Agricultural Research (EIAR);Public;Ethiopia;EIAR (Ethiopia)
S18_2_ZW_SCL5Banket_SCL23S1180/5/541;-1895984040;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;6;28;23;S1180/5/54;;No;124;0;0;;0;;;;;0;2;0;0;105;0;1270;14;10;2618,83;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,16;20,16;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL30SC SENTINEL1;1515381999;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;6;29;30;SC SENTINEL;;Yes;102;0;0;;0;;;;;0;2;0;0;120;0;1140;16;10;2356;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,44;20,37;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL17TGx 2002-9FM1;-1001766168;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;6;30;17;TGx 2002-9FM;;No;130;0;0;;0;;;;;0;2;0;0;85;0;1080;20;9;2251,86;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,01;22,33;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL14SC SAGA2;-757815178;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;7;31;14;SC SAGA;;Yes;12;0;0;;0;;;;;0;2;0;0;155;0;1520;18;10;3141,33;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,13;21,54;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL27SCS-12;-1145642717;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;7;32;27;SCS-1;;No;13;0;0;;0;;;;;0;3;0;0;95;0;1370;17;11;2809,29;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,86;21,92;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Ethiopian Institute of Agricultural Research (EIAR);Public;Ethiopia;EIAR (Ethiopia)
S18_2_ZW_SCL5Banket_SCL23S1180/5/542;-1047368138;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;7;33;23;S1180/5/54;;No;124;0;0;;0;;;;;0;2;0;0;95;0;970;15;10;1997,98;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,77;20,31;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL5TGx 1987-62F2;-763842739;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;7;34;5;TGx 1987-62F;;No;21;0;0;;0;;;;;0;5;0;0;90;0;920;13;10;1909,79;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,83;19,65;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Nigeria;IITA (Nigeria)
S18_2_ZW_SCL5Banket_SCL28S1140/5/42;1787210911;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;7;35;28;S1140/5/4;;No;91;0;0;;0;;;;;0;1;0;0;125;0;1260;17;10;2598,21;YES;0;0;0;0;0;0;0;0;0;0;0;0;42,86;18,72;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL2NASOKO2;1673710128;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;8;36;2;NASOKO;;No;64;0;0;;0;;;;;0;1;0;0;110;0;1060;17;10;2188,23;YES;0;0;0;0;0;0;0;0;0;0;0;0;43,29;17,87;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Department of Agricultural Research Services (DARS);Public;Malawi;DARS (Malawi)
S18_2_ZW_SCL5Banket_SCL16TGx 2002-35FM2;1259513071;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;8;37;16;TGx 2002-35FM;;No;129;0;0;;0;;;;;0;4;0;0;95;0;1240;12;10;2565,52;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,59;20,16;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL25S1146/5/252;1412060379;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;8;38;25;S1146/5/25;;No;123;0;0;;0;;;;;0;1;0;0;110;0;1350;21;11;2777,59;YES;0;0;0;0;0;0;0;0;0;0;0;0;39,74;20,06;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL21MRI DINA2;306469212;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;8;39;21;MRI DINA;;No;11;0;0;;0;;;;;0;3;0;0;115;0;516;12;8;1086,57;YES;0;0;0;0;0;0;0;0;0;0;0;0;44,37;18,47;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;MRI/Syngenta (Synergy Agribusiness Zambia Limited);Private;Zambia;MRI/Syngenta_Synergy Ag. (Zambia)
S18_2_ZW_SCL5Banket_SCL17TGx 2002-9FM2;-256621116;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;2;8;40;17;TGx 2002-9FM;;No;130;0;0;;0;;;;;0;2;0;0;95;0;1820;20;11;3740,41;YES;0;0;0;0;0;0;0;0;0;0;0;0;39;22,89;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
